05/08/2022 16:53:55 ID_DIPENDENTE;MATRICOLA;ID_PERSONA;OLD_DIR;NEW_DIR;DESC_NUOVA_DIR
05/08/2022 16:54:02 86116013;627470;449860096;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:04 128911695;753728;682487845;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:06 221904203;877400;865736007;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:09 361920666;760787;838386535;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:09 378238996;643101;873699128;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:11 438289374;928619;835317828;604012175;2353467;INTRATTENIMENTO PRIME TIME
05/08/2022 16:54:14 555699252;526560;167520703;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:14 556632086;007825;120983899;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:14 560087117;791165;981319256;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:17 692043064;745574;175412119;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:19 765866520;560700;910557806;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:19 779583074;510910;41352392;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:20 810499007;450960;56986273;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:22 901783796;630875;28255046;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:22 925583280;322379;51842214;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:23 948153538;066435;90319336;526011912;15;RAI PER IL SOCIALE
05/08/2022 16:54:24 982894526;157077;264385081;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:26 1063903964;230579;813433170;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:29 1153813563;304540;97411633;1;24;OFFERTA ESTERO
05/08/2022 16:54:29 1165540837;207985;580664161;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:54:30 1187035610;947040;218515337;1913183748;34647567;FICTION
