SV;Direzione;Sigla;Descrizione estesa;casella CC;
 01;RAIUNO;RAI 1;Rai 1;rai1@rai.it;
 02;RAIDUE;RAI 2;Rai 2;rai2@rai.it;
 03;RAITRE;RAI 3;Rai 3;rai3@rai.it;
 04;MARKETING;MK;Marketing;marketing@rai.it;
 05;DIREZIONE CREATIVA;DC;Direzione Creativa;direzione.creativa@rai.it;
 08;RELAZIONI ISTITUZIONALI;IST;Relazioni Istituzionali;relazioniistituzionali@rai.it;
 09;RISORSE UMANE E ORGANIZZAZIONE;RUO;Risorse Umane e Organizzazione;risorseumaneeorganizzazione@rai.it;
 10;RETI E PIATTAFORME;CTO-RP;Reti e Piattaforme;retiepiattaforme@rai.it;
 12;PIANIF. STRATEG.E CONTR.GEST.;FP-PSCG;Pianificazione Strategica e Controllo di Gestione;pianecontrollo@rai.it;
 14;RADIO;RF;Radio;ccradio@rai.it;
 15;RAI FICTION;FICTION;Rai Fiction;ccraifiction@rai.it;
 16;RAI NEWS;NEWS;Rai News;rainews24@rai.it;
 19;INTERNAL AUDIT;IA;Internal Audit;internalauditing@rai.it;
 1A;PREVENZ.CORRUZ.E ATTIV.TRASPAR;RPC;Prevenzione della Corruzione e Attività per la Trasparenza;anticorruzioneetrasparenza@rai.it;
 20;CANONE E BENI ARTISTICI;FP-CBA;Canone e Beni Artistici;canoneebeniartistici@rai.it;
 21;TELEGIORNALE 1;TG1;Tg1;cctg1@rai.it;
 22;TELEGIORNALE 2;TG2;Tg2;tg2@rai.it;
 23;TELEGIORNALE 3;TG3;Tg3;tg3@rai.it;
 24;COORD. SEDI REGIONALI E ESTERE;IISL-CSR;Coordinamento Sedi Regionali ed Estere;;
 26;SAFETY & SECURITY;SAS;Safety & Security;safetyesecurity@rai.it;
 27;TECHE;TEC;Teche;teche@rai.it;
 28;DIRITTI SPORTIVI;DS;Diritti Sportivi;dirittisportivi@rai.it;
 30;CENTRO RIC.INNOV.TECN.E SPERIM;CTO-CRIT;Centro Ricerche, Innovazione Tecnologica e Sperimentazione;centroricerche@rai.it;
 31;RADIOUNO (COMPRENDE GR);RF1+GR;Radio 1 - Giornale Radio;radiouno-giornalerad@rai.it;
 32;AREA CHIEF TECHNOLOGY OFFICER;CTO;CTO - Infrastrutture Tecnologiche;ctoinfrastrutturetecnologiche@rai.it;
 33;RAI CULTURA;RC;Rai Cultura;raicultura@rai.it;
 36;RAI PARLAMENTO;PARL;Rai Parlamento;raiparlamento@rai.it;
 38;TESTATA GIORNALISTICA REGION.;TGR;TGR;cctgr@rai.it;
 39;RADIODUE;RF2;Radio 2;radiodue@rai.it;
 40;ISORADIO;ISO;Isoradio;ccisoradio@rai.it;
 41;PRODUZIONE TV;PTV;Produzione TV;produzionetv@rai.it;
 42;STAFF AD E DGC;STAFFAD;Staff Amministratore Delegato e Direttore Generale Corporate;staffamministratoredelegato@rai.it;
 43;RAI SPORT;SPORT;Rai Sport;ccraisport@rai.it;
 44;RADIOTRE;RF3;Radio 3;ccradiotre@rai.it;
 45;ICT;CTO-ICT;ICT;ict@rai.it;
 46;CORRISPONDENTI ESTERO;CORR;Uffici di Corrispondenza dall'Estero;;
 47;FINANZA E PIANIFICAZIONE;FP;Finanza e Pianificazione;cfofinanzaepianificazione@rai.it;
 48;AFFARI LEGALI E SOCIETARI;ALS;Affari Legali e Societari;affarilegaliesocietari@rai.it;
